noop,vdso,syscall,ioctl
227,235,430,521
229,237,431,495
227,235,430,494
227,255,436,485
227,236,430,479
229,234,461,508
227,235,442,496
228,235,447,510
227,235,431,498
227,235,438,513
227,237,431,512
228,255,438,486
228,262,431,512
227,255,431,497
227,234,438,506
227,255,438,569
228,235,439,493
227,236,452,484
227,235,437,489
227,251,460,492
228,237,429,518
227,255,437,498
227,255,437,489
227,255,451,482
227,255,457,488
228,235,461,495
228,251,445,519
227,235,451,515
230,235,435,511
227,236,430,480
228,235,431,507
229,252,430,476
228,235,436,496
229,252,431,512
227,235,429,517
227,235,446,499
227,237,457,496
231,255,456,518
230,251,446,683
228,262,457,508
227,251,475,481
227,252,446,516
227,252,437,476
228,255,431,507
228,235,429,501
227,237,444,503
229,237,456,481
227,237,446,503
228,255,431,482
227,240,432,481
227,255,431,508
228,235,433,482
228,236,431,517
227,235,432,503
227,255,431,485
230,252,438,476
227,237,445,472
227,255,459,490
228,252,432,507
228,255,431,489
227,235,432,506
227,255,439,500
228,235,442,493
227,236,455,512
228,235,439,497
230,256,439,573
227,255,432,484
228,255,432,480
228,255,466,479
228,240,453,499
227,237,435,507
227,235,454,488
230,238,432,478
227,255,433,473
229,250,431,482
229,255,438,697
227,255,459,506
228,255,431,474
227,255,432,517
229,255,431,489
227,256,432,492
227,261,431,496
229,265,458,496
227,262,451,485
227,235,436,496
229,235,447,481
227,235,432,508
227,235,432,506
228,235,432,498
228,250,446,483
229,252,458,485
228,255,432,480
228,252,431,497
227,255,432,511
229,235,431,491
227,235,457,510
230,235,454,488
227,235,438,491
228,235,430,525
228,257,458,507
228,252,453,493
228,250,461,512
229,252,443,492
227,255,432,505
227,237,431,691
227,255,432,492
228,237,431,482
230,236,430,480
228,235,433,485
227,236,431,513
227,252,432,482
228,251,432,508
227,253,447,507
228,236,448,488
227,236,467,506
227,252,432,479
229,252,431,567
227,255,457,496
229,255,438,479
228,255,437,472
227,255,432,519
230,266,471,506
227,250,433,494
227,255,443,484
227,235,432,505
228,237,431,476
229,255,445,475
228,252,429,495
227,265,429,498
227,235,428,504
228,235,444,479
227,235,450,499
227,234,431,509
230,251,445,483
228,255,437,485
229,255,465,484
228,235,475,493
227,235,445,492
229,237,430,496
227,235,429,490
227,235,446,493
229,236,451,509
227,235,448,500
228,236,430,520
227,235,454,497
228,235,452,496
227,236,449,492
228,235,438,483
227,235,431,529
229,235,431,506
227,236,432,500
228,255,446,494
227,235,430,492
229,255,458,478
227,255,449,497
227,252,452,498
228,240,431,498
230,255,431,497
227,236,431,513
227,235,447,508
228,267,447,496
227,255,431,477
227,234,446,475
227,255,456,478
227,236,445,473
227,235,432,477
229,235,430,480
229,235,430,473
227,255,432,635
228,251,442,512
229,235,451,555
229,235,431,498
229,237,431,480
228,235,432,478
227,255,446,502
228,255,456,487
228,237,446,492
229,234,452,478
227,255,438,494
229,255,438,511
227,255,449,496
228,255,434,500
227,255,433,491
227,252,432,484
229,237,431,493
230,236,446,483
227,235,468,496
229,255,448,507
227,252,454,498
229,257,448,493
228,255,486,478
227,252,456,472
227,252,440,470
227,240,440,504
229,255,452,500
227,255,455,478
228,237,437,490
228,235,453,597
227,251,432,505
230,251,438,493
227,255,438,514
227,255,438,485
230,255,438,512
228,237,437,501
227,251,440,499
228,255,440,510
227,255,440,496
229,235,445,489
228,235,432,488
227,255,446,474
227,255,456,468
227,255,451,470
228,236,431,473
227,236,431,475
227,235,440,472
228,255,445,496
228,251,449,490
228,251,432,508
229,235,457,674
228,236,462,479
229,235,431,472
227,236,438,472
227,235,431,510
227,235,433,499
230,235,446,487
227,255,438,496
228,255,438,490
227,235,431,473
227,236,431,470
228,235,432,508
227,236,431,477
227,235,432,498
230,250,463,496
227,254,455,471
227,255,451,487
228,255,430,493
229,257,431,507
227,256,431,482
227,236,432,476
228,239,452,470
227,255,432,503
229,252,430,510
227,235,451,497
229,236,447,509
227,235,432,508
227,255,431,479
227,239,457,476
228,255,453,504
228,255,461,477
227,251,445,476
228,254,448,501
228,255,451,499
227,255,437,519
227,255,438,505
228,237,438,506
227,235,431,483
228,235,452,483
227,235,443,501
229,240,455,492
227,260,464,480
227,255,446,508
229,260,434,501
227,255,456,477
228,252,445,508
227,255,431,516
230,235,431,508
227,236,430,513
227,235,446,512
228,255,447,509
228,252,446,488
228,255,442,487
228,235,447,485
227,235,431,510
227,235,438,507
228,238,445,478
228,250,452,479
227,255,461,486
229,255,446,499
229,240,431,504
227,247,431,498
228,236,448,498
228,255,431,483
227,235,431,475
228,235,453,473
227,235,445,473
227,255,439,470
231,251,431,481
228,234,455,475
227,235,447,476
228,236,462,518
230,235,431,484
230,236,448,510
227,235,432,544
227,255,445,498
228,255,459,478
228,252,452,474
227,235,457,510
228,255,430,481
227,255,431,486
230,235,434,507
227,235,456,683
230,237,445,502
227,235,431,479
227,235,453,475
228,235,439,507
228,235,431,480
227,255,440,493
231,252,432,509
228,255,431,523
229,255,432,495
228,255,432,472
227,255,432,474
227,255,431,472
227,235,432,476
228,237,457,470
229,252,446,492
227,251,433,480
227,255,452,483
227,236,452,498
228,235,447,479
228,235,431,509
227,255,432,488
228,236,446,493
228,251,441,476
228,251,449,472
227,252,454,504
228,251,430,489
227,251,431,495
230,235,438,508
228,237,441,482
227,235,435,475
228,235,431,473
229,255,431,472
227,235,431,472
227,235,430,471
227,235,434,470
227,237,432,475
227,251,431,504
229,252,437,479
227,251,430,489
228,237,444,475
227,235,452,470
227,255,450,468
230,255,446,503
227,255,431,475
227,255,432,494
227,236,430,492
230,235,445,508
227,236,455,515
228,255,429,496
227,250,431,474
228,251,429,471
228,235,444,493
229,235,464,475
227,235,438,472
227,235,446,477
227,235,432,474
229,255,446,479
229,235,445,495
227,237,444,505
227,235,456,679
227,236,443,505
228,235,431,475
227,260,429,476
229,237,430,479
227,252,456,483
227,237,433,618
227,255,466,502
230,255,446,480
227,255,431,499
228,253,456,486
228,255,448,500
229,235,432,508
230,235,437,491
229,235,431,478
227,235,451,473
227,235,455,501
227,251,452,481
228,240,429,507
227,235,432,494
229,235,437,491
228,252,454,495
228,252,443,489
230,255,444,494
228,255,436,505
228,252,445,483
228,255,428,477
227,235,430,474
227,235,445,510
228,255,429,475
228,255,464,507
227,237,448,493
228,255,431,479
228,236,432,478
227,260,439,502
228,235,444,493
227,237,445,517
227,235,452,490
227,240,444,475
227,255,430,472
228,255,429,472
229,260,451,481
228,236,430,468
227,240,471,472
227,237,454,472
229,236,446,475
227,235,430,509
227,255,459,477
227,237,446,492
227,235,464,489
227,252,451,492
227,251,431,489
228,255,436,472
229,235,440,490
227,235,447,491
229,235,437,486
227,235,438,506
229,235,432,571
228,236,452,500
228,255,444,476
227,255,430,476
227,240,430,493
229,252,429,512
227,236,463,676
227,235,432,483
228,235,431,475
228,255,432,478
227,235,447,478
227,255,437,475
227,267,459,475
227,261,438,474
230,240,434,484
228,254,438,475
227,255,432,501
227,237,446,481
227,235,462,509
228,235,445,488
229,257,461,507
227,252,463,493
228,251,436,489
228,236,438,484
227,234,431,511
228,235,447,488
227,235,432,484
227,237,445,496
227,251,431,680
227,252,450,493
228,237,432,484
227,235,432,483
228,237,431,484
227,255,466,501
230,255,461,506
228,255,456,507
227,240,431,492
227,235,446,495
228,255,431,487
227,235,431,488
229,270,432,500
228,237,431,498
229,255,466,490
227,252,431,479
227,251,446,482
227,237,451,482
228,239,431,483
228,235,430,485
227,255,431,482
228,255,432,479
228,235,431,478
228,240,431,505
228,235,431,489
227,252,430,513
227,237,432,488
228,235,453,480
228,235,430,478
227,262,432,499
227,250,448,486
228,235,433,506
229,235,431,504
228,235,432,504
227,237,432,503
229,255,471,495
227,235,432,520
228,255,460,507
227,252,449,509
227,267,446,481
228,255,431,509
227,237,431,485
227,235,446,514
228,235,431,509
227,235,429,513
229,255,432,594
227,255,431,501
227,255,432,479
228,255,446,474
227,255,445,492
229,255,447,486
227,237,451,489
228,237,436,509
227,255,431,507
229,235,430,479
228,255,447,481
227,255,446,478
227,235,446,475
229,252,461,480
227,235,446,480
227,235,430,475
227,235,451,472
227,235,438,480
228,235,432,495
230,238,431,478
229,262,466,506
227,251,446,493
227,236,446,494
228,236,454,568
227,235,454,484
229,255,431,476
227,255,433,483
228,255,455,479
228,235,477,504
228,236,463,493
228,238,439,501
228,252,431,476
229,255,431,475
229,255,430,482
228,255,450,520
227,252,431,490
227,252,431,508
228,251,438,516
227,235,443,492
227,235,453,500
227,237,442,487
227,235,463,481
227,252,454,490
227,255,465,687
227,255,447,489
228,236,432,477
229,258,430,505
227,252,431,483
228,255,432,498
229,236,451,507
228,241,431,488
230,236,431,501
228,237,446,481
231,255,446,480
229,255,431,485
229,255,465,495
228,235,457,493
227,237,453,476
228,236,453,472
227,251,438,491
228,252,431,516
230,255,446,478
227,240,456,661
228,255,432,490
228,235,446,485
229,235,432,475
229,235,432,485
229,237,450,498
227,251,457,490
227,251,452,518
227,255,447,659
227,255,436,496
228,235,431,481
230,255,431,495
228,240,453,475
229,235,461,514
227,235,461,497
227,255,466,672
229,255,448,482
227,252,431,480
227,237,447,480
228,235,460,482
227,235,432,482
229,236,431,475
228,237,432,483
229,237,447,475
227,251,445,472
230,255,431,475
229,235,455,477
227,236,445,488
227,235,432,499
227,255,431,500
227,236,436,473
227,255,466,473
228,265,447,517
227,235,453,491
227,255,439,499
227,237,438,480
227,255,438,522
228,255,430,483
228,255,453,504
229,262,447,509
229,235,444,687
227,255,465,487
227,251,431,486
227,255,438,474
227,255,433,477
227,252,430,511
227,235,458,496
228,235,466,494
227,235,463,504
227,236,447,487
229,255,438,478
227,251,453,473
227,252,478,507
227,235,453,498
227,236,431,496
228,235,451,678
228,235,457,491
227,236,446,488
227,235,431,482
230,235,431,509
229,235,431,501
227,235,461,498
228,235,466,481
227,235,455,503
229,235,432,500
227,236,431,509
227,237,431,500
227,255,432,485
228,255,446,499
227,252,432,489
229,240,440,513
228,251,456,504
227,235,430,493
227,235,431,503
229,270,457,489
227,252,441,489
228,252,438,484
227,256,438,517
227,256,475,486
229,251,452,508
227,255,462,511
227,251,443,517
227,235,446,502
230,235,452,490
227,237,432,479
228,235,432,483
228,237,452,479
227,252,446,478
228,251,454,480
228,251,446,474
228,251,438,470
228,236,431,468
227,252,431,470
227,255,432,497
229,255,457,484
228,255,446,502
230,260,460,481
229,255,454,672
228,255,438,486
227,235,431,477
227,235,449,473
227,253,431,508
227,251,461,476
227,255,458,501
228,235,457,498
227,255,431,491
229,255,438,660
227,255,448,487
228,236,447,482
227,254,432,500
227,235,461,485
227,235,432,504
227,235,431,503
228,256,431,506
227,236,445,498
229,252,432,477
227,235,456,490
227,255,432,492
229,255,431,482
229,255,448,507
227,251,431,500
227,260,448,481
227,255,466,477
227,255,436,496
228,240,447,497
230,255,430,501
227,252,432,489
227,252,439,480
228,255,445,478
228,235,459,481
230,235,466,693
230,237,476,497
229,255,446,477
228,237,431,478
227,235,431,511
227,252,431,511
227,235,431,475
228,235,440,486
227,252,468,527
227,256,436,502
228,255,458,480
227,251,432,486
229,252,433,480
228,251,446,503
227,251,432,489
228,251,453,506
228,255,457,507
227,252,454,498
229,235,431,482
228,235,440,482
227,237,462,479
228,252,432,495
227,261,461,509
229,255,446,516
227,241,441,686
227,237,430,488
227,235,462,480
228,255,446,511
228,251,435,485
227,265,450,502
228,255,439,497
229,251,438,511
227,240,447,482
227,255,435,511
227,235,458,502
227,236,446,486
227,237,447,482
228,256,456,496
227,255,446,482
228,255,433,500
228,252,431,477
227,251,459,510
228,252,437,506
227,252,431,481
227,236,431,482
227,251,445,482
229,251,446,510
227,255,431,499
229,255,459,482
227,255,440,495
227,235,438,504
228,236,431,503
231,235,453,511
227,255,438,522
228,235,454,487
227,235,442,508
227,235,431,489
228,236,431,484
227,251,430,481
227,255,446,479
228,252,431,479
227,235,456,480
227,235,463,476
227,255,446,479
227,251,457,479
227,251,446,511
228,255,447,490
229,255,447,489
227,255,461,498
227,235,464,510
227,240,446,670
227,237,431,482
228,235,433,480
227,255,452,476
228,252,438,511
229,236,461,478
229,251,446,489
227,255,458,486
229,250,438,493
228,255,438,501
227,237,431,489
227,237,438,483
228,237,438,480
227,236,444,506
227,252,439,504
227,235,438,483
227,255,452,485
227,255,453,498
227,255,438,508
227,255,439,502
227,255,439,500
227,255,459,512
227,235,438,690
227,235,457,488
229,252,438,478
229,235,454,483
229,255,463,505
227,252,452,509
227,240,442,509
228,255,452,503
228,252,431,497
227,255,430,503
228,250,438,485
230,236,455,479
227,235,446,486
227,251,454,506
230,237,439,504
227,255,432,484
227,252,431,506
227,237,431,510
227,235,431,505
228,235,431,480
227,235,429,509
227,235,429,508
228,235,445,516
228,252,444,508
229,255,460,492
228,251,446,480
228,255,464,479
227,251,466,477
227,251,431,685
227,255,431,502
227,235,455,480
227,235,462,477
227,235,430,484
227,255,441,478
227,261,455,477
227,252,448,473
227,255,439,474
228,251,448,511
228,252,432,480
227,255,433,482
228,235,447,496
227,237,452,489
227,237,443,501
227,255,432,478
228,237,432,484
227,234,430,483
230,252,429,487
227,255,444,508
227,252,451,498
227,240,441,484
227,256,458,504
228,255,455,493
228,255,430,499
228,235,433,500
227,255,453,478
228,235,437,480
228,235,431,498
228,237,438,488
228,235,455,502
227,235,454,495
229,235,452,472
229,235,430,476
229,235,431,484
229,236,431,686
228,235,445,491
227,236,440,473
227,235,460,470
227,236,458,489
229,235,456,527
227,237,446,478
229,255,456,493
227,235,435,480
228,251,447,515
229,251,431,491
228,251,430,483
227,252,447,496
228,262,456,511
227,254,451,512
228,240,458,504
228,255,431,479
230,257,431,479
227,255,446,493
230,255,436,513
227,255,445,507
227,235,469,482
227,235,437,507
227,255,431,681
227,255,446,491
228,251,430,483
227,251,431,480
227,237,448,510
230,235,446,481
227,237,435,496
227,236,446,503
227,235,431,480
230,235,431,477
227,251,431,483
227,235,431,484
228,235,431,486
227,235,431,484
229,251,432,483
227,252,431,482
227,252,461,510
227,255,430,494
228,252,433,506
227,255,444,502
228,240,445,513
229,255,453,504
227,252,452,518
228,254,462,491
229,251,460,480
227,235,472,478
227,235,466,514
227,252,431,480
227,255,457,507
227,252,431,498
227,255,461,511
227,251,436,495
228,255,455,491
230,268,437,483
229,255,431,510
227,251,430,505
227,255,452,490
227,236,445,483
228,235,452,479
229,252,434,510
227,236,431,514
228,235,431,518
227,255,445,507
227,255,429,529
228,255,461,496
229,255,450,499
227,255,455,505
228,255,430,510
227,265,430,611
227,240,429,508
228,235,452,479
228,255,452,478
227,235,436,508
230,235,462,507
230,235,442,509
227,255,447,509
227,235,437,481
228,252,431,483
227,235,430,497
227,235,437,477
227,252,460,509
229,255,451,479
228,255,447,499
228,256,439,486
227,252,430,501
227,237,430,500
228,235,431,485
227,235,455,513
230,236,443,501
228,235,453,494
229,255,432,485
228,237,432,490
229,235,445,506
227,235,444,506
228,235,430,505
227,252,437,570
227,235,454,494
228,235,464,486
228,235,440,481
228,255,457,504
229,255,431,507
228,255,431,487
